STUDENT ID,GENDER,SG CITIZEN,SG PR,FOREIGNER,COUNTRY OF OTHER NATIONALITY,DOB,HIGHEST QUALIFICATION,NAME OF QUALIFICATION AND INSTITUTION,DATE ATTAINED HIGHEST QUALIFICATION,DESIGNATION,COMMENCEMENT DATE,COMPLETION DATE,FULL-TIME OR PART-TIME,COURSE FUNDING,CLASS,NATIONALITY_STATUS,AGE,COURSE_DURATION_DAYS,PERIOD,GPA,ATTENDANCE,PRIOR KNOWLEDGE,COURSE RELEVANCE,TEACHING SUPPORT,COMPANY SUPPORT,FAMILY SUPPORT,SELF-STUDY HRS
1101-009/005,F,Y,N,N,,1983-11-25,Diploma,"Diploma in Business Admininstration, LCCI Level 3, Private Secretary's Diploma, LCCI",2015-08-06,"Executive, Administration",2022-04-18,2023-09-17,Part-Time,Sponsored,1101-009,SG Citizen,42.2,517.0,Sem 1,2.8,76.0,4.0,4.0,4.0,3.0,5.0,16.0
1101-009/005,F,Y,N,N,,1983-11-25,Diploma,"Diploma in Business Admininstration, LCCI Level 3, Private Secretary's Diploma, LCCI",2015-08-06,"Executive, Administration",2022-04-18,2023-09-17,Part-Time,Sponsored,1101-009,SG Citizen,42.2,517.0,Sem 2,2.9,80.0,4.0,3.0,5.0,3.0,5.0,19.0
1101-009/005,F,Y,N,N,,1983-11-25,Diploma,"Diploma in Business Admininstration, LCCI Level 3, Private Secretary's Diploma, LCCI",2015-08-06,"Executive, Administration",2022-04-18,2023-09-17,Part-Time,Sponsored,1101-009,SG Citizen,42.2,517.0,Sem 3,3.0,100.0,3.0,3.0,4.0,5.0,3.0,11.0
1101-009/006,F,N,Y,N,Malaysia,1968-10-17,Certificate,"Lower Secondary Education, Malaysia",1995-07-05,Administrator,2022-04-18,2023-09-17,Part-Time,Individual - SFC,1101-009,SG PR,57.3,517.0,Sem 1,2.1,80.0,3.0,1.0,5.0,3.0,2.0,7.0
1101-009/006,F,N,Y,N,Malaysia,1968-10-17,Certificate,"Lower Secondary Education, Malaysia",1995-07-05,Administrator,2022-04-18,2023-09-17,Part-Time,Individual - SFC,1101-009,SG PR,57.3,517.0,Sem 2,2.2,68.0,3.0,1.0,3.0,1.0,4.0,5.0
1101-009/006,F,N,Y,N,Malaysia,1968-10-17,Certificate,"Lower Secondary Education, Malaysia",1995-07-05,Administrator,2022-04-18,2023-09-17,Part-Time,Individual - SFC,1101-009,SG PR,57.3,517.0,Sem 3,2.3,74.0,,,,,,
1101-009/007,F,Y,N,N,,1980-06-29,Certificate,N' level,1997-07-07,Admin & Finance Executive,2022-04-18,2023-09-17,Part-Time,Sponsored,1101-009,SG Citizen,45.6,517.0,Sem 1,1.9,54.0,1.0,2.0,2.0,1.0,2.0,5.0
1101-009/007,F,Y,N,N,,1980-06-29,Certificate,N' level,1997-07-07,Admin & Finance Executive,2022-04-18,2023-09-17,Part-Time,Sponsored,1101-009,SG Citizen,45.6,517.0,Sem 2,2.0,69.0,4.0,5.0,4.0,3.0,3.0,12.0
1101-009/007,F,Y,N,N,,1980-06-29,Certificate,N' level,1997-07-07,Admin & Finance Executive,2022-04-18,2023-09-17,Part-Time,Sponsored,1101-009,SG Citizen,45.6,517.0,Sem 3,2.4,84.0,3.0,5.0,5.0,5.0,3.0,11.0
1101-009/008,F,Y,N,N,,1976-05-25,Certificate,O' level,1995-07-08,Admin Assistant,2022-04-18,2024-03-18,Part-Time,Individual,1101-009,SG Citizen,49.7,700.0,Sem 1,2.0,80.0,4.0,4.0,3.0,4.0,4.0,14.0
1101-009/008,F,Y,N,N,,1976-05-25,Certificate,O' level,1995-07-08,Admin Assistant,2022-04-18,2024-03-18,Part-Time,Individual,1101-009,SG Citizen,49.7,700.0,Sem 2,2.1,84.0,3.0,5.0,2.0,4.0,4.0,10.0
1101-009/008,F,Y,N,N,,1976-05-25,Certificate,O' level,1995-07-08,Admin Assistant,2022-04-18,2024-03-18,Part-Time,Individual,1101-009,SG Citizen,49.7,700.0,Sem 3,1.6,70.0,1.0,4.0,4.0,3.0,3.0,6.0
1101-009/008,F,Y,N,N,,1976-05-25,Certificate,O' level,1995-07-08,Admin Assistant,2022-04-18,2024-03-18,Part-Time,Individual,1101-009,SG Citizen,49.7,700.0,Sem 4,2.3,100.0,4.0,5.0,5.0,5.0,4.0,10.0
1101-009/009,F,Y,N,N,,1983-11-30,Certificate,N' Level,2000-07-05,Operation Executive,2022-04-18,2023-09-17,Part-Time,Sponsored,1101-009,SG Citizen,42.1,517.0,Sem 1,3.2,98.0,3.0,4.0,4.0,3.0,3.0,14.0
1101-009/009,F,Y,N,N,,1983-11-30,Certificate,N' Level,2000-07-05,Operation Executive,2022-04-18,2023-09-17,Part-Time,Sponsored,1101-009,SG Citizen,42.1,517.0,Sem 2,2.7,75.0,4.0,5.0,2.0,4.0,4.0,12.0
1101-009/009,F,Y,N,N,,1983-11-30,Certificate,N' Level,2000-07-05,Operation Executive,2022-04-18,2023-09-17,Part-Time,Sponsored,1101-009,SG Citizen,42.1,517.0,Sem 3,2.8,74.0,3.0,3.0,4.0,4.0,4.0,14.0
1101-009/010,F,N,N,Y,Malaysia,1992-07-08,Certificate,SPM,2017-07-05,Clerk,2022-04-18,2023-09-17,Part-Time,Individual,1101-009,Foreigner,33.5,517.0,Sem 1,3.5,82.0,3.0,3.0,5.0,5.0,5.0,15.0
1101-009/010,F,N,N,Y,Malaysia,1992-07-08,Certificate,SPM,2017-07-05,Clerk,2022-04-18,2023-09-17,Part-Time,Individual,1101-009,Foreigner,33.5,517.0,Sem 2,3.3,83.0,3.0,3.0,5.0,3.0,4.0,20.0
1101-009/010,F,N,N,Y,Malaysia,1992-07-08,Certificate,SPM,2017-07-05,Clerk,2022-04-18,2023-09-17,Part-Time,Individual,1101-009,Foreigner,33.5,517.0,Sem 3,3.4,100.0,3.0,4.0,5.0,5.0,2.0,12.0
1101-009/011,F,N,Y,N,Malaysia,1988-11-02,Degree,"Bahcelor of Management (Marketing), Universiti Teknologi Malaysia",2018-09-08,HR & Admin,2022-04-18,2023-09-17,Part-Time,Sponsored,1101-009,SG PR,37.2,517.0,Sem 1,3.5,94.0,3.0,5.0,5.0,5.0,4.0,18.0
1101-009/011,F,N,Y,N,Malaysia,1988-11-02,Degree,"Bahcelor of Management (Marketing), Universiti Teknologi Malaysia",2018-09-08,HR & Admin,2022-04-18,2023-09-17,Part-Time,Sponsored,1101-009,SG PR,37.2,517.0,Sem 2,3.3,85.0,4.0,5.0,5.0,5.0,4.0,13.0
1101-009/011,F,N,Y,N,Malaysia,1988-11-02,Degree,"Bahcelor of Management (Marketing), Universiti Teknologi Malaysia",2018-09-08,HR & Admin,2022-04-18,2023-09-17,Part-Time,Sponsored,1101-009,SG PR,37.2,517.0,Sem 3,3.4,100.0,3.0,4.0,3.0,3.0,5.0,18.0
1101-010/001,M,Y,N,N,,1980-01-31,Diploma,"Diploma in Multimedia & Infocomm Technology, Nanyang Polytechnic",1999-09-11,Early Childhood Support Office,2022-10-19,2024-03-18,Part-Time,Individual - SFC,1101-010,SG Citizen,46.0,516.0,Sem 1,2.1,73.0,4.0,4.0,3.0,3.0,2.0,6.0
1101-010/001,M,Y,N,N,,1980-01-31,Diploma,"Diploma in Multimedia & Infocomm Technology, Nanyang Polytechnic",1999-09-11,Early Childhood Support Office,2022-10-19,2024-03-18,Part-Time,Individual - SFC,1101-010,SG Citizen,46.0,516.0,Sem 2,2.5,79.0,5.0,3.0,4.0,5.0,5.0,6.0
1101-010/001,M,Y,N,N,,1980-01-31,Diploma,"Diploma in Multimedia & Infocomm Technology, Nanyang Polytechnic",1999-09-11,Early Childhood Support Office,2022-10-19,2024-03-18,Part-Time,Individual - SFC,1101-010,SG Citizen,46.0,516.0,Sem 3,2.0,91.0,4.0,3.0,4.0,5.0,4.0,7.0
1101-010/002,F,Y,N,N,,1973-04-20,Certificate,O' level,1990-09-02,Office Manager,2022-10-19,2024-03-18,Part-Time,Sponsored,1101-010,SG Citizen,52.8,516.0,Sem 1,2.0,79.0,3.0,5.0,1.0,5.0,5.0,11.0
1101-010/002,F,Y,N,N,,1973-04-20,Certificate,O' level,1990-09-02,Office Manager,2022-10-19,2024-03-18,Part-Time,Sponsored,1101-010,SG Citizen,52.8,516.0,Sem 2,2.2,85.0,4.0,4.0,1.0,5.0,4.0,9.0
1101-010/002,F,Y,N,N,,1973-04-20,Certificate,O' level,1990-09-02,Office Manager,2022-10-19,2024-03-18,Part-Time,Sponsored,1101-010,SG Citizen,52.8,516.0,Sem 3,2.1,84.0,3.0,4.0,1.0,4.0,5.0,11.0
1101-010/003,F,Y,N,N,,1991-03-09,Certificate,O' level,2013-09-03,Business Development Executive,2022-10-19,2024-03-18,Part-Time,Individual - SFC,1101-010,SG Citizen,34.9,516.0,Sem 1,3.0,100.0,5.0,4.0,2.0,4.0,3.0,10.0
1101-010/003,F,Y,N,N,,1991-03-09,Certificate,O' level,2013-09-03,Business Development Executive,2022-10-19,2024-03-18,Part-Time,Individual - SFC,1101-010,SG Citizen,34.9,516.0,Sem 2,3.3,81.0,4.0,3.0,4.0,4.0,5.0,16.0
1101-010/003,F,Y,N,N,,1991-03-09,Certificate,O' level,2013-09-03,Business Development Executive,2022-10-19,2024-03-18,Part-Time,Individual - SFC,1101-010,SG Citizen,34.9,516.0,Sem 3,3.0,96.0,4.0,3.0,3.0,4.0,4.0,12.0
1101-010/004,F,Y,N,N,,1990-06-17,Certificate,N' Level,2018-09-01,Human Resource Assistant,2022-10-19,2024-03-18,Part-Time,Sponsored,1101-010,SG Citizen,35.6,516.0,Sem 1,3.8,100.0,3.0,4.0,1.0,3.0,4.0,12.0
1101-010/004,F,Y,N,N,,1990-06-17,Certificate,N' Level,2018-09-01,Human Resource Assistant,2022-10-19,2024-03-18,Part-Time,Sponsored,1101-010,SG Citizen,35.6,516.0,Sem 2,3.9,90.0,5.0,3.0,1.0,3.0,4.0,15.0
1101-010/004,F,Y,N,N,,1990-06-17,Certificate,N' Level,2018-09-01,Human Resource Assistant,2022-10-19,2024-03-18,Part-Time,Sponsored,1101-010,SG Citizen,35.6,516.0,Sem 3,4.0,90.0,4.0,4.0,1.0,3.0,3.0,23.0
1101-010/005,F,N,N,Y,Malaysia,1986-09-10,Certificate,SPM,2016-09-08,Admin Assistant,2022-10-19,2024-03-18,Part-Time,Sponsored - no SDF,1101-010,Foreigner,39.4,516.0,Sem 1,3.3,83.0,4.0,5.0,4.0,3.0,3.0,13.0
1101-010/005,F,N,N,Y,Malaysia,1986-09-10,Certificate,SPM,2016-09-08,Admin Assistant,2022-10-19,2024-03-18,Part-Time,Sponsored - no SDF,1101-010,Foreigner,39.4,516.0,Sem 2,3.4,97.0,3.0,4.0,4.0,4.0,5.0,14.0
1101-010/005,F,N,N,Y,Malaysia,1986-09-10,Certificate,SPM,2016-09-08,Admin Assistant,2022-10-19,2024-03-18,Part-Time,Sponsored - no SDF,1101-010,Foreigner,39.4,516.0,Sem 3,3.8,92.0,3.0,4.0,5.0,5.0,4.0,13.0
1101-010/006,F,Y,N,N,,1997-08-03,Diploma,"Diploma in Business, Temasek Polytechnic",2016-09-12,Secretary,2022-10-19,2024-03-18,Part-Time,Individual,1101-010,SG Citizen,28.5,516.0,Sem 1,2.7,65.0,4.0,4.0,1.0,3.0,5.0,10.0
1101-010/006,F,Y,N,N,,1997-08-03,Diploma,"Diploma in Business, Temasek Polytechnic",2016-09-12,Secretary,2022-10-19,2024-03-18,Part-Time,Individual,1101-010,SG Citizen,28.5,516.0,Sem 2,2.8,72.0,4.0,4.0,1.0,4.0,4.0,12.0
1101-010/006,F,Y,N,N,,1997-08-03,Diploma,"Diploma in Business, Temasek Polytechnic",2016-09-12,Secretary,2022-10-19,2024-03-18,Part-Time,Individual,1101-010,SG Citizen,28.5,516.0,Sem 3,3.2,85.0,4.0,5.0,1.0,3.0,5.0,16.0
1101-010/007,F,Y,N,N,,1970-08-02,Diploma,"Diploma in Business Administration, PSB Academy",2016-09-02,Executive Assistant,2022-10-19,2024-03-18,Part-Time,Individual - SFC,1101-010,SG Citizen,55.5,516.0,Sem 1,3.3,100.0,5.0,3.0,1.0,5.0,5.0,16.0
1101-010/007,F,Y,N,N,,1970-08-02,Diploma,"Diploma in Business Administration, PSB Academy",2016-09-02,Executive Assistant,2022-10-19,2024-03-18,Part-Time,Individual - SFC,1101-010,SG Citizen,55.5,516.0,Sem 2,3.4,78.0,4.0,4.0,1.0,3.0,3.0,13.0
1101-010/007,F,Y,N,N,,1970-08-02,Diploma,"Diploma in Business Administration, PSB Academy",2016-09-02,Executive Assistant,2022-10-19,2024-03-18,Part-Time,Individual - SFC,1101-010,SG Citizen,55.5,516.0,Sem 3,3.8,100.0,4.0,4.0,2.0,3.0,2.0,12.0
1101-010/008,F,Y,N,N,,1973-03-08,Certificate,"Certificate in Office Skills, ITE",1999-09-01,Secretary,2022-10-19,2024-03-18,Part-Time,Individual - SFC,1101-010,SG Citizen,52.9,516.0,Sem 1,2.4,80.0,4.0,3.0,4.0,4.0,5.0,9.0
1101-010/008,F,Y,N,N,,1973-03-08,Certificate,"Certificate in Office Skills, ITE",1999-09-01,Secretary,2022-10-19,2024-03-18,Part-Time,Individual - SFC,1101-010,SG Citizen,52.9,516.0,Sem 2,2.5,100.0,4.0,3.0,5.0,4.0,5.0,15.0
1101-010/008,F,Y,N,N,,1973-03-08,Certificate,"Certificate in Office Skills, ITE",1999-09-01,Secretary,2022-10-19,2024-03-18,Part-Time,Individual - SFC,1101-010,SG Citizen,52.9,516.0,Sem 3,2.9,54.0,3.0,5.0,4.0,1.0,5.0,12.0
1101-010/009,F,Y,N,N,,1994-11-13,Diploma,"Advanced Diploma in Tourism, Hospitality and Event Management, MDIS",2016-09-01,Admin Assistant,2022-10-19,2024-03-18,Part-Time,Individual,1101-010,SG Citizen,31.2,516.0,Sem 1,3.4,75.0,3.0,5.0,5.0,4.0,5.0,17.0
1101-010/009,F,Y,N,N,,1994-11-13,Diploma,"Advanced Diploma in Tourism, Hospitality and Event Management, MDIS",2016-09-01,Admin Assistant,2022-10-19,2024-03-18,Part-Time,Individual,1101-010,SG Citizen,31.2,516.0,Sem 2,3.5,71.0,4.0,5.0,4.0,4.0,4.0,14.0
1101-010/009,F,Y,N,N,,1994-11-13,Diploma,"Advanced Diploma in Tourism, Hospitality and Event Management, MDIS",2016-09-01,Admin Assistant,2022-10-19,2024-03-18,Part-Time,Individual,1101-010,SG Citizen,31.2,516.0,Sem 3,3.6,100.0,4.0,5.0,3.0,5.0,5.0,23.0
1101-010/010,F,Y,N,N,,1983-02-10,Diploma,"Diploma in Multimedia Software Engineering, Singapore Polytechnic",2003-09-09,Senior Assistant (Tenant Administration),2022-10-19,2024-03-18,Part-Time,Individual-SFC,1101-010,SG Citizen,42.9,516.0,Sem 1,2.2,75.0,3.0,3.0,5.0,4.0,3.0,10.0
1101-010/010,F,Y,N,N,,1983-02-10,Diploma,"Diploma in Multimedia Software Engineering, Singapore Polytechnic",2003-09-09,Senior Assistant (Tenant Administration),2022-10-19,2024-03-18,Part-Time,Individual-SFC,1101-010,SG Citizen,42.9,516.0,Sem 2,2.3,81.0,4.0,3.0,4.0,5.0,5.0,11.0
1101-010/010,F,Y,N,N,,1983-02-10,Diploma,"Diploma in Multimedia Software Engineering, Singapore Polytechnic",2003-09-09,Senior Assistant (Tenant Administration),2022-10-19,2024-03-18,Part-Time,Individual-SFC,1101-010,SG Citizen,42.9,516.0,Sem 3,3.0,86.0,3.0,3.0,4.0,4.0,5.0,12.0
1101-010/011,F,Y,N,N,,1969-02-16,Certificate,"O' levels, Diploma in Business Management (distance learning), Glasgow, Dublin",2018-10-10,Admin Assistant,2022-10-19,2024-03-18,Part-Time,Sponsored,1101-010,SG Citizen,56.9,516.0,Sem 1,3.6,90.0,3.0,3.0,5.0,3.0,5.0,15.0
1101-010/011,F,Y,N,N,,1969-02-16,Certificate,"O' levels, Diploma in Business Management (distance learning), Glasgow, Dublin",2018-10-10,Admin Assistant,2022-10-19,2024-03-18,Part-Time,Sponsored,1101-010,SG Citizen,56.9,516.0,Sem 2,3.5,100.0,3.0,3.0,3.0,3.0,4.0,22.0
1101-010/011,F,Y,N,N,,1969-02-16,Certificate,"O' levels, Diploma in Business Management (distance learning), Glasgow, Dublin",2018-10-10,Admin Assistant,2022-10-19,2024-03-18,Part-Time,Sponsored,1101-010,SG Citizen,56.9,516.0,Sem 3,4.0,76.0,4.0,3.0,5.0,3.0,4.0,22.0
1101-010/012,F,N,Y,N,Malaysia,1978-06-16,Certificate,"Certified Accounting Technicians (CATS), ACCA, SPM",2018-10-09,Senior HR Officer,2022-10-19,2024-03-18,Part-Time,Individual - SFC,1101-010,SG PR,47.6,516.0,Sem 1,3.8,92.0,3.0,3.0,4.0,5.0,5.0,12.0
1101-010/012,F,N,Y,N,Malaysia,1978-06-16,Certificate,"Certified Accounting Technicians (CATS), ACCA, SPM",2018-10-09,Senior HR Officer,2022-10-19,2024-03-18,Part-Time,Individual - SFC,1101-010,SG PR,47.6,516.0,Sem 2,3.9,100.0,5.0,3.0,3.0,5.0,4.0,16.0
1101-010/012,F,N,Y,N,Malaysia,1978-06-16,Certificate,"Certified Accounting Technicians (CATS), ACCA, SPM",2018-10-09,Senior HR Officer,2022-10-19,2024-03-18,Part-Time,Individual - SFC,1101-010,SG PR,47.6,516.0,Sem 3,4.0,73.0,3.0,3.0,3.0,3.0,3.0,21.0
1101-011/001,F,Y,N,N,,1973-04-30,Certificate,"Certified Accounting Technicians (CATS), ACCA, 'O' levels",1993-10-09,-,2023-04-16,2024-09-16,Part-Time,Individual,1101-011,SG Citizen,52.7,519.0,Sem 1,2.0,90.0,3.0,5.0,3.0,5.0,4.0,11.0
1101-011/001,F,Y,N,N,,1973-04-30,Certificate,"Certified Accounting Technicians (CATS), ACCA, 'O' levels",1993-10-09,-,2023-04-16,2024-09-16,Part-Time,Individual,1101-011,SG Citizen,52.7,519.0,Sem 2,2.1,65.0,3.0,3.0,4.0,4.0,5.0,9.0
1101-011/001,F,Y,N,N,,1973-04-30,Certificate,"Certified Accounting Technicians (CATS), ACCA, 'O' levels",1993-10-09,-,2023-04-16,2024-09-16,Part-Time,Individual,1101-011,SG Citizen,52.7,519.0,Sem 3,2.8,75.0,3.0,4.0,2.0,3.0,5.0,10.0
1101-011/002,M,Y,N,N,,1977-06-12,Certificate,"NTC 2, N Level, WPLN",2014-05-02,Senior Executive,2023-04-16,2024-09-16,Part-Time,Individual,1101-011,SG Citizen,48.6,519.0,Sem 1,3.1,100.0,3.0,5.0,5.0,5.0,4.0,16.0
1101-011/002,M,Y,N,N,,1977-06-12,Certificate,"NTC 2, N Level, WPLN",2014-05-02,Senior Executive,2023-04-16,2024-09-16,Part-Time,Individual,1101-011,SG Citizen,48.6,519.0,Sem 2,3.1,90.0,5.0,5.0,4.0,3.0,3.0,19.0
1101-011/002,M,Y,N,N,,1977-06-12,Certificate,"NTC 2, N Level, WPLN",2014-05-02,Senior Executive,2023-04-16,2024-09-16,Part-Time,Individual,1101-011,SG Citizen,48.6,519.0,Sem 3,3.4,90.0,4.0,5.0,3.0,4.0,4.0,13.0
1101-011/003,F,Y,N,N,,1976-04-27,Certificate,"O' level, 'N' Level",2016-05-08,-,2023-04-16,2024-09-16,Part-Time,Individual,1101-011,SG Citizen,49.7,519.0,Sem 1,3.3,92.0,4.0,4.0,3.0,4.0,4.0,18.0
1101-011/003,F,Y,N,N,,1976-04-27,Certificate,"O' level, 'N' Level",2016-05-08,-,2023-04-16,2024-09-16,Part-Time,Individual,1101-011,SG Citizen,49.7,519.0,Sem 2,3.4,90.0,3.0,5.0,3.0,4.0,3.0,20.0
1101-011/003,F,Y,N,N,,1976-04-27,Certificate,"O' level, 'N' Level",2016-05-08,-,2023-04-16,2024-09-16,Part-Time,Individual,1101-011,SG Citizen,49.7,519.0,Sem 3,3.8,80.0,5.0,5.0,3.0,4.0,5.0,20.0
1101-011/004,F,Y,N,N,,1985-02-05,Diploma,"Diploma in Mass Communication, MDIS",2020-05-07,Relationship and Marketing Executive,2023-04-16,2024-09-16,Part-Time,Individual - SFC,1101-011,SG Citizen,41.0,519.0,Sem 1,3.7,93.0,5.0,4.0,5.0,4.0,5.0,15.0
1101-011/004,F,Y,N,N,,1985-02-05,Diploma,"Diploma in Mass Communication, MDIS",2020-05-07,Relationship and Marketing Executive,2023-04-16,2024-09-16,Part-Time,Individual - SFC,1101-011,SG Citizen,41.0,519.0,Sem 2,3.8,97.0,5.0,5.0,3.0,4.0,5.0,15.0
1101-011/004,F,Y,N,N,,1985-02-05,Diploma,"Diploma in Mass Communication, MDIS",2020-05-07,Relationship and Marketing Executive,2023-04-16,2024-09-16,Part-Time,Individual - SFC,1101-011,SG Citizen,41.0,519.0,Sem 3,3.9,90.0,5.0,5.0,3.0,3.0,3.0,18.0
1101-011/005,F,N,N,Y,Malaysia,1979-02-04,Certificate,SPM,2000-06-11,"Associate, Client Services",2023-04-16,2024-09-16,Part-Time,Individual - SFC,1101-011,Foreigner,47.0,519.0,Sem 1,2.2,85.0,3.0,4.0,5.0,4.0,4.0,11.0
1101-011/005,F,N,N,Y,Malaysia,1979-02-04,Certificate,SPM,2000-06-11,"Associate, Client Services",2023-04-16,2024-09-16,Part-Time,Individual - SFC,1101-011,Foreigner,47.0,519.0,Sem 2,2.1,83.0,1.0,3.0,5.0,5.0,4.0,8.0
1101-011/005,F,N,N,Y,Malaysia,1979-02-04,Certificate,SPM,2000-06-11,"Associate, Client Services",2023-04-16,2024-09-16,Part-Time,Individual - SFC,1101-011,Foreigner,47.0,519.0,Sem 3,2.9,80.0,4.0,4.0,3.0,5.0,4.0,12.0
1101-011/006,F,Y,N,N,,1989-04-23,Diploma,"Diploma (Facilities & Events Management), NYP",2016-10-04,HR Administrator,2023-04-16,2024-09-16,Part-Time,Individual - SFC,1101-011,SG Citizen,36.7,519.0,Sem 1,3.5,90.0,5.0,3.0,4.0,5.0,3.0,19.0
1101-011/006,F,Y,N,N,,1989-04-23,Diploma,"Diploma (Facilities & Events Management), NYP",2016-10-04,HR Administrator,2023-04-16,2024-09-16,Part-Time,Individual - SFC,1101-011,SG Citizen,36.7,519.0,Sem 2,3.6,83.0,3.0,4.0,5.0,5.0,5.0,15.0
1101-011/006,F,Y,N,N,,1989-04-23,Diploma,"Diploma (Facilities & Events Management), NYP",2016-10-04,HR Administrator,2023-04-16,2024-09-16,Part-Time,Individual - SFC,1101-011,SG Citizen,36.7,519.0,Sem 3,3.7,96.0,4.0,4.0,3.0,4.0,3.0,18.0
1101-011/007,F,N,N,Y,China,1992-01-21,Degree,"Bachelor of Public Administration, San Jose State University",2017-10-02,PR Executive,2023-04-16,2024-09-16,Part-Time,Individual,1101-011,Foreigner,34.0,519.0,Sem 1,3.6,61.0,3.0,5.0,3.0,3.0,5.0,19.0
1101-011/007,F,N,N,Y,China,1992-01-21,Degree,"Bachelor of Public Administration, San Jose State University",2017-10-02,PR Executive,2023-04-16,2024-09-16,Part-Time,Individual,1101-011,Foreigner,34.0,519.0,Sem 2,3.6,85.0,3.0,4.0,4.0,5.0,5.0,18.0
1101-011/007,F,N,N,Y,China,1992-01-21,Degree,"Bachelor of Public Administration, San Jose State University",2017-10-02,PR Executive,2023-04-16,2024-09-16,Part-Time,Individual,1101-011,Foreigner,34.0,519.0,Sem 3,3.9,95.0,3.0,4.0,5.0,4.0,3.0,20.0
